contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency,expiry,t2m,s0,market_price,type,vol,EFD,IFD,CNFD,delta,gamma,vega,theta
SPY210416P00385000,2021-03-19 17:56:36,385.0,4.85,4.83,4.84,-0.61000013,-11.172164,10498.0,37045.0,0.16968603759765627,False,REGULAR,USD,2021-04-16 00:00:00,0.06014665859998139,390.8500061035156,4.835,p,0.1950263223648071,4.847891250131349,4.824624654695621,4.836268903848777,-0.3677693583476045,0.020041560236954838,36.525033806864116,-58.50742608516563
SPY210416P00386000,2021-03-19 17:52:07,386.0,5.0,5.17,5.18,-0.6300001,-11.190055,4033.0,7391.0,0.16834327758789067,False,REGULAR,USD,2021-04-16 00:00:00,0.06014665859998139,390.8500061035156,5.175,p,0.19351530742645257,5.177320522635262,5.152561318376331,5.1649606013968095,-0.3874130140302473,0.020558919354659075,37.063726435154756,-59.1071717324238
SPY210416P00387000,2021-03-19 17:58:33,387.0,5.4,5.37,5.38,-0.3699999,-6.4124765,6209.0,0.0,0.16330792755126955,False,REGULAR,USD,2021-04-16 00:00:00,0.06014665859998139,390.8500061035156,5.375,p,0.18771704959869384,5.350460125755185,5.325244131123825,5.337878863878205,-0.4057381487919158,0.02154294721912037,37.56823406430891,-58.28648324894718
SPY210416P00388000,2021-03-19 17:57:54,388.0,5.74,5.67,5.69,-0.64000034,-10.031353,6568.0,0.0,0.16040878662109376,False,REGULAR,USD,2021-04-16 00:00:00,0.06014665859998139,390.8500061035156,5.68,p,0.18427201175689695,5.6823268877291175,5.657047568778401,5.669717080024079,-0.4266646988828779,0.02211206182310904,37.80647306370058,-57.648708757631425
SPY210416P00389000,2021-03-19 17:59:07,389.0,6.0,5.98,5.99,-0.71000004,-10.581222,6370.0,7417.0,0.1568687829589844,False,REGULAR,USD,2021-04-16 00:00:00,0.06014665859998139,390.8500061035156,5.985,p,0.18030488300323483,5.997771654711524,5.97254511689199,5.985191004058934,-0.4483247487378821,0.022761410871146533,38.033657531068066,-56.811137459199884
SPY210416P00390000,2021-03-19 17:59:07,390.0,6.34,6.36,6.37,-0.7199998,-10.1982975,12124.0,0.0,0.15461050476074223,False,REGULAR,USD,2021-04-16 00:00:00,0.06014665859998139,390.8500061035156,6.365,p,0.17775540256500244,6.366797827501133,6.341033635751968,6.353952524110935,-0.4710398514759838,0.023258585917147745,38.269935457867255,-56.42614427403869
SPY210416P00391000,2021-03-19 17:59:07,391.0,6.72,6.73,6.74,-0.6000004,-8.196727,10427.0,9817.0,0.15165032928466798,True,REGULAR,USD,2021-04-16 00:00:00,0.06014665859998139,390.8500061035156,6.735,p,0.1743522844314575,6.715507929707868,6.689863417431231,6.702724352989497,-0.49444970122637266,0.023848161577415657,38.45252012892006,-55.657548751529106
SPY210416P00392000,2021-03-19 17:57:52,392.0,7.19,7.1,7.12,-0.59000015,-7.5835495,3734.0,0.0,0.14838498107910159,True,REGULAR,USD,2021-04-16 00:00:00,0.06014665859998139,390.8500061035156,7.109999999999999,p,0.17046327877044676,7.117843594616762,7.093241299901047,7.105576599911333,-0.5187984368575793,0.024266850771267133,38.30785341901411,-54.12011700113859
SPY210416P00393000,2021-03-19 17:48:57,393.0,7.47,7.53,7.55,-0.44000006,-5.56258,2852.0,0.0,0.1456689437866211,True,REGULAR,USD,2021-04-16 00:00:00,0.06014665859998139,390.8500061035156,7.54,p,0.16735931491851808,7.5499221247076935,7.526249336500107,7.53811551530125,-0.5439909408370457,0.02458277264581292,38.157175988801804,-52.830002440483646
SPY210416P00394000,2021-03-19 17:56:27,394.0,8.01,8.05,8.09,-0.4499998,-5.3191466,2538.0,0.0,0.14490601196289063,True,REGULAR,USD,2021-04-16 00:00:00,0.06014665859998139,390.8500061035156,8.07,p,0.16621605014801022,8.056739208055783,8.033707476001942,8.045249191947804,-0.5691084468566403,0.024616261047134755,38.0063049908264,-52.166953878294514
