t2m,strike,type,ask,bid,market_price,vol,EFD,IFD,CNFD
0.156,394.0,p,12.4,12.36,12.38,0.174,12.3742,12.3587,12.3664
0.156,393.0,p,12.01,11.96,11.985,0.1765,11.992,11.9762,11.9842
0.156,392.0,p,11.59,11.55,11.57,0.1785,11.5746,11.5585,11.5666
0.156,391.0,p,11.28,11.23,11.255,0.1819,11.2424,11.226,11.2342
0.156,390.0,p,10.89,10.85,10.87,0.1839,10.8708,10.8544,10.8626
0.156,389.0,p,10.53,10.49,10.51,0.1861,10.5182,10.5018,10.51
0.156,388.0,p,10.21,10.17,10.19,0.1888,10.1923,10.1757,10.184
0.156,387.0,p,9.79,9.76,9.775,0.1896,9.7586,9.7422,9.7504
0.156,386.0,p,9.5,9.47,9.485,0.1924,9.4869,9.4706,9.4788
0.156,385.0,p,9.2,9.17,9.185,0.1948,9.1934,9.1772,9.1853
