strike,market_price,vol,delta,gamma,theta,vega
385.0,10.985,0.1943,0.6281,0.0193,-56.3207,38.2343
386.0,10.18,0.189,0.6109,0.0202,-55.6071,38.7135
387.0,9.525,0.1871,0.5914,0.0207,-55.9917,39.2471
388.0,8.725,0.1811,0.572,0.0216,-54.5618,39.4786
389.0,8.165,0.1806,0.5503,0.0218,-54.8126,39.7086
390.0,7.495,0.1769,0.5286,0.0224,-54.0501,39.9371
391.0,6.825,0.1726,0.506,0.0231,-53.0269,40.1168
392.0,6.205,0.169,0.4824,0.0235,-51.6725,39.9814
393.0,5.695,0.1676,0.4586,0.0235,-50.9794,39.8435
394.0,5.17,0.1652,0.4339,0.0238,-49.979,39.7008
